RANK,"FEMALE NAME","NUMBER OF FEMALES"
323,Lyric,1007
324,Alessandra,1006
325,Gabriela,993
326,Paislee,989
327,Raelyn,986
328,Madilyn,983
329,Paris,979
330,Makenna,978
331,Kinley,976
332,Gracelyn,971
333,Talia,971
334,Maeve,969
335,Rylie,966
336,Kiara,954
337,Evelynn,952
338,Brinley,951
339,Jacqueline,939
340,Laura,935
341,Gracelynn,927
342,Lexi,922
343,Ariah,920
344,Fatima,915
345,Jennifer,915
346,Kehlani,912
347,Alani,904
348,Ariyah,903
349,Luciana,902
350,Allie,901
351,Heidi,898
352,Maci,897
353,Phoenix,893
354,Felicity,892
355,Joy,890
356,Kenzie,883
357,Veronica,881
358,Margot,877
359,Addilyn,871
360,Lana,868
361,Cassidy,864
362,Remington,862
363,Saylor,862
364,Ryan,860
365,Keira,859
366,Harlow,858
367,Miranda,858
368,Angel,849
369,Amanda,844
370,Daniella,839
371,Royalty,836
372,Gwendolyn,835
373,Ophelia,831
374,Heaven,829
375,Jordan,828
376,Madeleine,828
377,Esmeralda,826
378,Kira,822
379,Miracle,819
380,Elle,812
381,Amari,810
382,Danielle,809
383,Daphne,806
384,Willa,806
385,Haley,802
386,Gia,799
387,Kaitlyn,796
388,Oakley,794
389,Kailani,793
390,Winter,792
391,Alicia,786
392,Serena,777
393,Nadia,776
394,Aviana,774
395,Demi,774
396,Jada,773
397,Braelynn,772
398,Dylan,771
399,Ainsley,768
400,Alison,767
401,Camryn,767
402,Avianna,765
403,Bianca,764
404,Skyler,762
405,Scarlet,759
406,Maddison,757
407,Nylah,756
408,Sarai,753
409,Regina,751
410,Dahlia,750
411,Nayeli,748
412,Raven,747
413,Helen,745
414,Adrianna,743
415,Averie,742
416,Skye,741
417,Kelsey,738
418,Tatum,738
419,Kensley,737
420,Maliyah,736
421,Erin,735
422,Viviana,735
423,Jenna,734
424,Anaya,733
425,Carolina,733
426,Shelby,732
427,Sabrina,731
428,Mikayla,730
429,Annalise,729
430,Octavia,727
431,Lennon,724
432,Blair,723
433,Carmen,723
434,Yaretzi,723
435,Kennedi,722
436,Mabel,722
437,Zariah,721
438,Kyla,720
439,Christina,719
440,Selah,719
441,Celeste,718
442,Eve,716
443,Mckinley,716
444,Milani,716
445,Frances,715
446,Jimena,712
447,Kylee,711
448,Leighton,710
449,Katie,707
450,Aitana,704
451,Kayleigh,698
452,Sierra,693
453,Kathryn,692
454,Rosemary,690
455,Jolene,688
456,Alondra,687
457,Elisa,687
458,Helena,681
459,Charleigh,680
460,Hallie,679
461,Lainey,677
462,Avah,675
463,Jazlyn,675
464,Kamryn,674
465,Mira,672
466,Cheyenne,670
467,Francesca,668
468,Antonella,661
469,Wren,661
470,Chelsea,659
471,Amber,658
472,Emory,654
473,Lorelei,654
474,Nia,654
475,Abby,653
476,April,653
477,Emelia,653
478,Carter,652
479,Aylin,651
480,Cataleya,651
481,Bethany,650
482,Marlee,650
483,Carly,647
484,Kaylani,647
485,Emely,646
486,Liana,643
487,Madelynn,642
488,Cadence,639
489,Matilda,635
490,Sylvia,631
491,Myra,629
492,Fernanda,627
493,Oaklyn,627
494,Elianna,626
