RANK,"MALE NAME","NUMBER OF MALES","FEMALE NAME","NUMBER OF FEMALES"
1,Liam,19837,Emma,18688
2,Noah,18267,Olivia,17921
3,William,14516,Ava,14924
4,James,13525,Isabella,14464
5,Oliver,13389,Sophia,13928
6,Benjamin,13381,Charlotte,12940
7,Elijah,12886,Mia,12642
8,Lucas,12585,Amelia,12301
9,Mason,12435,Harper,10582
10,Logan,12352,Evelyn,10376
11,Alexander,11989,Abigail,9796
12,Ethan,11854,Emily,8656
13,Jacob,11770,Elizabeth,8513
14,Michael,11620,Mila,8126
15,Daniel,11173,Ella,8055
16,Henry,10649,Avery,8053
17,Jackson,10323,Sofia,7621
18,Sebastian,10054,Camila,7473
19,Aiden,9979,Aria,7394
20,Matthew,9924,Scarlett,7182
21,Samuel,9734,Victoria,7089
22,David,9697,Madison,7036
23,Joseph,9555,Luna,6897
24,Carter,9312,Grace,6724
25,Owen,9288,Chloe,6626
26,Wyatt,9127,Penelope,6474
27,John,9119,Layla,6468
28,Jack,8834,Riley,5976
29,Luke,8577,Zoey,5899
30,Jayden,8553,Nora,5799
31,Dylan,8549,Lily,5706
32,Grayson,8538,Eleanor,5694
33,Levi,8440,Hannah,5629
34,Isaac,8417,Lillian,5534
35,Gabriel,8335,Addison,5203
36,Julian,8307,Aubrey,5190
37,Mateo,8169,Ellie,5190
38,Anthony,8003,Stella,5121
39,Jaxon,7701,Natalie,5095
40,Lincoln,7368,Zoe,5062
41,Joshua,7364,Leah,4995
42,Christopher,7261,Hazel,4916
43,Andrew,7234,Violet,4794
44,Theodore,7020,Aurora,4785
45,Caleb,6929,Savannah,4745
46,Ryan,6905,Audrey,4662
47,Asher,6802,Brooklyn,4611
48,Nathan,6790,Bella,4518
49,Thomas,6779,Claire,4379
50,Leo,6719,Skylar,4378
51,Isaiah,6614,Lucy,4354
52,Charles,6604,Paisley,4333
53,Josiah,6603,Everly,4313
54,Hudson,6540,Anna,4145
55,Christian,6509,Caroline,4136
56,Hunter,6066,Nova,4124
57,Connor,6058,Genesis,4068
58,Eli,6027,Emilia,4020
59,Ezra,6000,Kennedy,3924
60,Aaron,5953,Samantha,3897
61,Landon,5827,Maya,3882
62,Adrian,5788,Willow,3881
63,Jonathan,5712,Kinsley,3856
64,Nolan,5607,Naomi,3821
65,Jeremiah,5561,Aaliyah,3811
66,Easton,5429,Elena,3758
67,Elias,5310,Sarah,3734
68,Colton,5284,Ariana,3715
69,Cameron,5271,Allison,3678
70,Carson,5227,Gabriella,3677
71,Robert,5140,Alice,3643
72,Angel,5032,Madelyn,3634
73,Maverick,5014,Cora,3574
74,Nicholas,4801,Ruby,3552
75,Dominic,4753,Eva,3542
76,Jaxson,4734,Serenity,3517
77,Greyson,4728,Autumn,3471
78,Adam,4675,Adeline,3463
79,Ian,4675,Hailey,3449
80,Austin,4651,Gianna,3429
81,Santiago,4647,Valentina,3416
82,Jordan,4646,Isla,3393
83,Cooper,4441,Eliana,3373
84,Brayden,4383,Quinn,3369
85,Roman,4364,Nevaeh,3359
86,Evan,4356,Ivy,3256
87,Ezekiel,4319,Sadie,3247
88,Xavier,4298,Piper,3202
89,Jose,4292,Lydia,3184
90,Jace,4276,Alexa,3053
91,Jameson,4221,Josephine,3023
92,Leonardo,4205,Emery,2993
93,Bryson,4194,Julia,2989
94,Axel,4055,Delilah,2982
95,Everett,4001,Arianna,2956
96,Parker,3978,Vivian,2956
97,Kayden,3972,Kaylee,2938
98,Miles,3964,Sophie,2929
99,Sawyer,3858,Brielle,2919
100,Jason,3847,Madeline,2897
101,Declan,3792,Peyton,2896
102,Weston,3760,Rylee,2886
103,Micah,3718,Clara,2877
104,Ayden,3655,Hadley,2861
105,Wesley,3609,Melanie,2841
106,Luca,3589,Mackenzie,2810
107,Vincent,3552,Reagan,2803
108,Damian,3540,Adalynn,2801
109,Zachary,3528,Liliana,2773
110,Silas,3479,Aubree,2767
111,Gavin,3449,Jade,2673
112,Chase,3429,Katherine,2666
113,Kai,3421,Isabelle,2640
114,Emmett,3416,Natalia,2617
115,Harrison,3394,Raelynn,2599
116,Nathaniel,3351,Maria,2595
117,Kingston,3330,Athena,2582
118,Cole,3327,Ximena,2558
119,Tyler,3298,Arya,2545
120,Bennett,3271,Leilani,2505
121,Bentley,3250,Taylor,2478
122,Ryker,3223,Faith,2442
123,Tristan,3195,Rose,2432
124,Brandon,3183,Kylie,2416
125,Kevin,3124,Alexandra,2394
126,Luis,3084,Mary,2327
127,George,3059,Margaret,2312
128,Ashton,3035,Lyla,2288
129,Rowan,3020,Ashley,2267
130,Braxton,2991,Amaya,2256
131,Ryder,2984,Eliza,2254
132,Gael,2922,Brianna,2235
133,Ivan,2897,Bailey,2163
134,Diego,2880,Andrea,2154
135,Maxwell,2876,Khloe,2136
136,Max,2857,Jasmine,2133
137,Carlos,2839,Melody,2131
138,Kaiden,2832,Iris,2109
139,Juan,2826,Isabel,2052
140,Maddox,2797,Norah,1999
141,Justin,2787,Annabelle,1977
